name
Q96I99	SUCB2 sp|Q96I99|SUCB2_HUMAN
P31749	AKT1 sp|P31749|AKT1_HUMAN/sp|P31751|AKT2_HUMAN/sp|Q9Y243|AKT3_HUMAN
P30613	KPYR sp|P30613|KPYR_HUMAN
Q7Z460	CLAP1 sp|Q7Z460|CLAP1_HUMAN/sp|O75122|CLAP2_HUMAN
P40227	TCPZ sp|P40227|TCPZ_HUMAN
Q9NQT5	EXOS3 sp|Q9NQT5|EXOS3_HUMAN
Q9NZL4	HPBP1 sp|Q9NZL4|HPBP1_HUMAN
P23919	KTHY sp|P23919|KTHY_HUMAN
Q9BUF5	TBB6 sp|Q9BUF5|TBB6_HUMAN
Q00535	CDK5 sp|Q00535|CDK5_HUMAN
Q00534	CDK6 sp|Q00534|CDK6_HUMAN
Q9HBM1	SPC25 sp|Q9HBM1|SPC25_HUMAN
Q06587	RING1 sp|Q06587|RING1_HUMAN
Q9UBM7	DHCR7 sp|Q9UBM7|DHCR7_HUMAN
P40429	RL13A sp|P40429|RL13A_HUMAN
Q12834	CDC20 sp|Q12834|CDC20_HUMAN
Q00403	TF2B sp|Q00403|TF2B_HUMAN
P03897	NU3M sp|P03897|NU3M_HUMAN
P05386	RLA1 sp|P05386|RLA1_HUMAN
P33240	CSTF2 sp|P33240|CSTF2_HUMAN
P78346	RPP30 sp|P78346|RPP30_HUMAN
P78347	GTF2I sp|P78347|GTF2I_HUMAN
P62979	RS27A sp|P62979|RS27A_HUMAN
P52272	HNRPM sp|P52272|HNRPM_HUMAN
A0AVT1	UBA6 sp|A0AVT1|UBA6_HUMAN
Q15366	PCBP2 sp|Q15366|PCBP2_HUMAN/sp|P57721|PCBP3_HUMAN
Q15365	PCBP1 sp|Q15365|PCBP1_HUMAN
A6NDU8	CE051 sp|A6NDU8|CE051_HUMAN
B5ME19	EIFCL sp|B5ME19|EIFCL_HUMAN/sp|Q99613|EIF3C_HUMAN
Q969U7	PSMG2 sp|Q969U7|PSMG2_HUMAN
P29401	TKT sp|P29401|TKT_HUMAN
O15091	MRRP3 sp|O15091|MRRP3_HUMAN
Q9P2J5	SYLC sp|Q9P2J5|SYLC_HUMAN
P35244	RFA3 sp|P35244|RFA3_HUMAN
P39023	RL3 sp|P39023|RL3_HUMAN
Q8IY22	CMIP sp|Q8IY22|CMIP_HUMAN
O75438	NDUB1 sp|O75438|NDUB1_HUMAN
O75439	MPPB sp|O75439|MPPB_HUMAN
P35249	RFC4 sp|P35249|RFC4_HUMAN
P08621	RU17 sp|P08621|RU17_HUMAN
Q9NVP2	ASF1B sp|Q9NVP2|ASF1B_HUMAN
A6NDG6	PGP sp|A6NDG6|PGP_HUMAN
O60610	DIAP1 sp|O60610|DIAP1_HUMAN
Q8NBI5	S43A3 sp|Q8NBI5|S43A3_HUMAN
Q9BXW7	CECR5 sp|Q9BXW7|CECR5_HUMAN
Q969K3	RNF34 sp|Q969K3|RNF34_HUMAN
Q9Y6E2	BZW2 sp|Q9Y6E2|BZW2_HUMAN
Q9Y6E0	STK24 sp|Q9Y6E0|STK24_HUMAN
O43933	PEX1 sp|O43933|PEX1_HUMAN
Q8TB03	CX038 sp|Q8TB03|CX038_HUMAN
Q99640	PMYT1 sp|Q99640|PMYT1_HUMAN
Q99643	C560 sp|Q99643|C560_HUMAN
Q71DI3	H32 sp|Q71DI3|H32_HUMAN
Q9H8H3	MET7A sp|Q9H8H3|MET7A_HUMAN
Q09161	NCBP1 sp|Q09161|NCBP1_HUMAN
P52657	T2AG sp|P52657|T2AG_HUMAN
Q5MNZ6	WIPI3 sp|Q5MNZ6|WIPI3_HUMAN
P53701	CCHL sp|P53701|CCHL_HUMAN
P08047	SP1 sp|P08047|SP1_HUMAN
Q5TDH0	DDI2 sp|Q5TDH0|DDI2_HUMAN
Q02094	RHAG sp|Q02094|RHAG_HUMAN
Q14566	MCM6 sp|Q14566|MCM6_HUMAN
P62714	PP2AB sp|P62714|PP2AB_HUMAN/sp|P67775|PP2AA_HUMAN
Q15185	TEBP sp|Q15185|TEBP_HUMAN
O75947	ATP5H sp|O75947|ATP5H_HUMAN
